value,trial_type,cued
2.5168229709801224,same,cued
3.366100116725391,same,cued
3.149166593817567,same,cued
2.9681825015528505,same,cued
3.443385865125641,same,cued
3.2326563368139984,same,cued
3.6561446645547786,same,uncued
2.7714926340691055,same,uncued
3.6228855659585566,same,uncued
3.3501459366318787,same,uncued
3.294590193905337,same,uncued
2.8037885782292338,same,uncued
2.964036234049871,other,cued
2.88577645362035,other,cued
3.208400309064935,other,cued
3.2157185425848374,other,cued
3.6348527518430074,other,cued
3.013436895693174,other,cued
3.0417498854521527,other,uncued
3.158949285341886,other,uncued
3.9521718038121008,other,uncued
2.685615738159133,other,uncued
2.9563986871992665,other,uncued
2.945560107642444,other,uncued
