electrode,value,freq,cued
O1,0.006346401745833418,56,56
Pz,0.005409172130818681,56,56
P1,0.0031941771385836904,56,56
P2,0.0006019935971940471,56,56
PO3,0.012380483155351257,56,56
PO4,0.0248874657097366,56,56
O1,0.00018788140123127332,60,56
Pz,0.0017122877897766484,60,56
P1,0.00018820319270666824,60,56
P2,0.0005624372802508922,60,56
PO3,0.00016192952377707952,60,56
PO4,0.008770911487033347,60,56
O1,0.005349875096127788,56,60
Pz,0.004848675512605598,56,60
P1,0.0034951871234506805,56,60
P2,0.002309115295908453,56,60
PO3,0.016459075578640917,56,60
PO4,0.017855232444577637,56,60
O1,0.001839454811835366,60,60
Pz,0.001534884494342176,60,60
P1,0.0007416405194585669,60,60
P2,0.00013409827288892346,60,60
PO3,0.003783743870363579,60,60
PO4,0.007307940053611018,60,60
